#OTUID,taxonomy,confidence
cb0e93507de9105abfc0498eddc34dc5,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
b7eed2395096b27b038a0496b7012899,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
80ec2dfa06089e7f45ab5e89d723e44b,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__unidentified,0.666666667
52d5c5bed2195a0428d79296bae2f408,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,1
f86bdbcc354261eda41ed1a603573407,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
6f788efe5a31653c6e22e32ef351499e,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Lycoperdon,0.6
b741573a99c16007945efc66da4b99a9,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Ceraceomyces;s__unidentified,1
e3b00f61915c7fddfce6c32e5a5cce7c,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium,1
54040c3e4b22f379deb6171dd6498956,k__Fungi;p__Ascomycota,0.7
17da144e32ff30ba9940f550b267562d,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,1
e0f4b1ead2a23a23afe55e2549df66ae,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Auriscalpiaceae;g__Auriscalpium;s__unidentified,0.625
292a4f9b4bbf6dc42929abf6530637fe,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
